# CKF Hard Mode — expectations, checked by [SelfCheck] at startup.
#
# REGENERATED 2026-08-31 against the overlay set. The previous baseline was
# written 2026-08-25, 27 hours BEFORE ckf.hardmode.d/*.csv was generated, and
# was never refreshed — Run56 reported 58 of 102 failing against it.
#
# Where the value came from, so a reader knows how much each row is worth:
#    65 rows  the overlay CSV's own authored cell, INDEPENDENTLY confirmed by
#             Run56 having produced exactly that value. Two sources, zero
#             disagreements across all of them. These are the strong ones.
#    14 rows  Run56's observed value only — no overlay cell covers them, so
#             they come from a rules.json rule. Marked in the Note. These
#             assert what the mod currently does, which is weaker: a bug
#             baked in here would look like a pass.
#    23 rows  parked as comments in section V. See the note there.
#
# Regenerating this file after a retune is the point. Regenerating it to make
# a failure go away is not — that turns the suite into a tautology.
#
#
# Columns: Table,Id,Column,Expect,Note.  Blank Expect = report, do not judge.
# Every row here is read BY ID through the game's own reader, which is what the
# game does for a monster's gear — no CKF Data Dump sweep, which cannot be used
# alongside cloning (Run 42, docs/verifying-2.5.md).
#
# Sections R and E are REGRESSION: the values Runs 42 and 43 already signed off,
# re-asserted against 2.7.0. Section V is the 2.7.0 overlay format.
Table,Id,Column,Expect,Note

# ---------------------------------------------------------------- R: rules.json
# A. geometric + gapFrom on a set + levelColumn — Guard Standard overwritten in
#    place, keyed on ArmorId. 22007 is the one that matters: shipped it dips to
#    40 between 45 and 48; overwritten it must land above its neighbour.
ArmorModel,21999,BallisticArmorDegraded,22,"R-A head of the ladder (observed Run56; no overlay cell — value comes from rules.json)"
ArmorModel,21999,PhysicalArmorDegraded,22,"R-A (observed Run56; no overlay cell — value comes from rules.json)"
ArmorModel,22000,BallisticArmorDegraded,36,"R-A"
ArmorModel,22000,PhysicalArmorDegraded,36,"R-A"
ArmorModel,22004,BallisticArmorDegraded,43,"R-A"
ArmorModel,22004,PhysicalArmorDegraded,42,"R-A"
ArmorModel,22006,BallisticArmorDegraded,46,"R-A"
ArmorModel,22006,PhysicalArmorDegraded,45,"R-A"
ArmorModel,22007,BallisticArmorDegraded,47,"R-A THE OLD REGRESSION — must be above 22006's 43"
ArmorModel,22007,PhysicalArmorDegraded,46,"R-A"
ArmorModel,22009,BallisticArmorDegraded,50,"R-A tail of the shipped rows"
ArmorModel,22009,PhysicalArmorDegraded,49,"R-A"

# B. the same curve continued past the shipped rows — no seam at the join
ArmorModel,22010,BallisticArmorDegraded,51,"R-B one step past 22009's 51"
ArmorModel,22010,PhysicalArmorDegraded,50,"R-B"
ArmorModel,22014,BallisticArmorDegraded,56,"R-B tier 15"
ArmorModel,22014,PhysicalArmorDegraded,55,"R-B"
ArmorModel,22017,BallisticArmorDegraded,60,"R-B tier 18 — the row Run 43 served in-game"
ArmorModel,22019,BallisticArmorDegraded,62,"R-B tier 20"
ArmorModel,22019,PhysicalArmorDegraded,60,"R-B"

# C. gapFrom on a multiply, and THE ZERO-COLUMN GUARD. Sniper Guard's source
#    carries BallisticArmor 0 and PhysicalArmor 0 — only the Degraded values
#    mean anything. A non-zero BA here is the single most important failure to
#    catch: gap scaling would read 0 as "lets 100% through".
ArmorModel,22106,BallisticArmor,0,"R-C ZERO MUST STAY ZERO"
ArmorModel,22106,PhysicalArmor,0,"R-C ZERO MUST STAY ZERO"
ArmorModel,22106,BallisticArmorDegraded,65,"R-C PL 11"
ArmorModel,22106,PhysicalArmorDegraded,54,"R-C PL 11"
ArmorModel,22113,BallisticArmorDegraded,76,"R-C PL 18 — the row Run 43 served in-game"
ArmorModel,22113,PhysicalArmorDegraded,67,"R-C PL 18"
ArmorModel,22115,BallisticArmor,0,"R-C ZERO MUST STAY ZERO"
ArmorModel,22115,PhysicalArmor,0,"R-C ZERO MUST STAY ZERO"
ArmorModel,22115,BallisticArmorDegraded,78,"R-C PL 20"
ArmorModel,22115,PhysicalArmorDegraded,70,"R-C PL 20"

# D. every — stepped integers. MaxArmorPoints holds five levels then rises by
#    exactly one. A +5 anywhere means the 2.5.0 bug is back.
